quantity,bytes
session_struct_arm64,1144
session_struct_rv32,1072
receive_buffer,2048
static_working_set_arm64,3192
static_working_set_rv32,3120
session_struct_pq_arm64,2328
session_struct_pq_rv32,2256
static_working_set_pq_arm64,4376
static_working_set_pq_rv32,4304
session_struct_webpki_arm64,3016
session_struct_webpki_rv32,2912
receive_buffer_webpki,12338
static_working_set_webpki_arm64,15354
static_working_set_webpki_rv32,15250
stack_connect_rsa,4992
stack_connect_ecdsa,3824
stack_connect_psk,2768
stack_connect_ca_rsa,5472
stack_connect_ca_ecdsa,3984
stack_connect_webpki,16416
stack_read,1696
stack_connect_pq,15872
stack_write,912
stack_close,864
session_struct_server_arm64,1968
session_struct_server_rv32,1816
static_working_set_server_arm64,4016
static_working_set_server_rv32,3864
stack_accept_server,10304
